Day,Open,High,Low,Close,Volume
1,47.04,48.24,47.04,48.15,3509
2,48.17,48.89,47.97,48.36,4862
3,48.55,49.71,48.52,49.55,1810
4,49.55,49.87,48.51,49.41,3824
5,49.41,49.96,45.84,46.36,2209
6,46.35,46.51,44.61,45.6,4558
7,45.54,45.54,43.63,44.02,3832
8,44.05,44.49,43.19,43.57,3778
9,43.63,45.29,43.63,45.0,1005
10,44.96,44.96,42.88,43.44,4047
11,43.44,45.01,43.24,44.9,2201
12,44.9,45.53,44.76,45.18,2507
13,45.13,45.13,43.78,44.39,4392
14,44.09,44.24,42.7,42.95,3497
15,43.09,43.57,42.56,43.08,1181
16,42.94,43.9,42.25,42.52,1971
17,42.64,44.08,42.62,43.99,4994
18,43.99,45.32,43.9,45.23,2017
19,45.23,45.62,44.37,44.82,2823
20,44.83,45.73,44.03,45.63,2774
